year,size,male,age,edu,edu1,edu2,edu3,edu4,mar,tenure,metro,oc1,oc2,oc3,oc4,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,non_regular,weektime,hourlywage,hourly_wage_r
2002,8,1,61,6,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,2,2
2004,8,1,34,16,0,0,0,1,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55,1,1
2006,8,0,24,14,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2006,8,1,36,12,0,1,0,0,1,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2005,8,1,38,18,0,0,0,1,0,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,72,1,2
2006,8,1,62,12,0,1,0,0,1,36,1,0,1,0,0,0,0,0,0,0,1,0,0,0,44,1,1
2004,8,1,40,16,0,0,0,1,1,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,2,3
2003,8,1,29,12,0,1,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,63,0,0
2006,8,0,26,12,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,70,0,0
2003,8,0,52,11,0,1,0,0,0,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2004,8,0,24,16,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2006,8,1,57,9,1,0,0,0,1,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,55,1,1
2002,8,1,35,16,0,0,0,1,1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,70,1,1
2002,8,1,35,16,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2006,8,1,45,16,0,0,0,1,1,20,1,0,1,0,0,0,1,0,0,0,0,0,0,0,72,1,2
2003,8,1,33,12,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2004,8,1,33,16,0,0,0,1,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2004,8,1,41,12,0,1,0,0,1,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2006,8,0,22,12,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,0
2006,8,1,30,14,0,0,1,0,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,72,1,1
2006,8,0,65,16,0,0,0,1,0,12,1,0,0,1,0,0,0,0,0,1,0,0,0,1,100,0,0
2006,8,1,39,12,0,1,0,0,1,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2003,8,0,35,12,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,54,0,1
2003,8,1,34,18,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,70,2,2
2004,8,1,42,16,0,0,0,1,1,18,1,0,1,0,0,0,0,0,1,0,0,0,0,0,45,2,3
2004,8,0,32,16,0,0,0,1,1,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2006,8,0,39,12,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0,0
2005,8,1,36,16,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2006,8,0,32,12,0,1,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,45,1,1
2004,8,1,51,9,1,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,0,1
